Table Name Index System Call              Handler Address    Symbol                                                      
64bit        189                          0xffffffff811ef400 SyS_lsetxattr                                               
64bit        190                          0xffffffff811ef4d0 sys_fsetxattr                                               
64bit        191                          0xffffffff811ef5d0 SyS_getxattr                                                
64bit        192                          0xffffffff811ef660 sys_lgetxattr                                               
64bit        193                          0xffffffff811ef6f0 sys_fgetxattr                                               
64bit        194                          0xffffffff811ef7c0 SyS_listxattr                                               
64bit        195                          0xffffffff811ef850 sys_llistxattr                                              
64bit        196                          0xffffffff811ef8d0 sys_flistxattr                                              
64bit        197                          0xffffffff811ef990 SyS_removexattr                                             
64bit        198                          0xffffffff811efa60 sys_lremovexattr                                            
64bit        199                          0xffffffff811efb30 SyS_fremovexattr                                            
64bit        200                          0xffffffff8107f330 SyS_tkill                                                   
64bit        201                          0xffffffff8106f3b0 SyS_time                                                    
64bit        202                          0xffffffff810e1040 SyS_futex                                                   
64bit        203                          0xffffffff8109fda0 SyS_sched_setaffinity                                       
64bit        204                          0xffffffff8109edd0 sys_sched_getaffinity                                       
64bit        205                          0xffffffff81090160 compat_sys_s390_ipc                                         
64bit        206                          0xffffffff81217b90 sys_io_setup                                                
64bit        207                          0xffffffff81217c80 SyS_io_destroy                                              
64bit        208                          0xffffffff812180a0 SyS_io_getevents                                            
64bit        209                          0xffffffff81217ed0 sys_io_submit                                               
64bit        210                          0xffffffff81217ef0 SyS_io_cancel                                               
64bit        211                          0xffffffff81090160 compat_sys_s390_ipc                                         
64bit        212                          0xffffffff81244ca0 SyS_lookup_dcookie                                          
64bit        213                          0xffffffff81212ba0 sys_epoll_create                                            
64bit        214                          0xffffffff81090160 compat_sys_s390_ipc                                         
64bit        215                          0xffffffff81090160 compat_sys_s390_ipc                                         
64bit        216                          0xffffffff8117e630 sys_remap_file_pages                                        
64bit        217                          0xffffffff811dce30 SyS_getdents64                                              
64bit        218                          0xffffffff8106a080 SyS_set_tid_address                                         
64bit        219                          0xffffffff8107e850 sys_restart_syscall                                         
64bit        220                          0xffffffff812d3d70 sys_semtimedop                                              
64bit        221                          0xffffffff8115be70 sys_fadvise64                                               
64bit        222                          0xffffffff8108e6d0 sys_timer_create                                            
64bit        223                          0xffffffff8108ec70 sys_timer_settime                                           
64bit        224                          0xffffffff8108eb50 sys_timer_gettime                                           
64bit        225                          0xffffffff8108ec20 sys_timer_getoverrun                                        
64bit        226                          0xffffffff8108edf0 SyS_timer_delete                                            
64bit        227                          0xffffffff8108f020 SyS_clock_settime                                           
64bit        228                          0xffffffff8108f0a0 sys_clock_gettime                                           
64bit        229                          0xffffffff8108f130 SyS_clock_getres                                            
64bit        230                          0xffffffff8108f1b0 sys_clock_nanosleep                                         
64bit        231                          0xffffffff8106df90 SyS_exit_group                                              
64bit        232                          0xffffffff81213090 sys_epoll_wait                                              
64bit        233                          0xffffffff81212bc0 SyS_epoll_ctl                                               
64bit        234                          0xffffffff8107f300 sys_tgkill                                                  
64bit        235                          0xffffffff811fac60 sys_utimes                                                  
64bit        236                          0xffffffff81090160 compat_sys_s390_ipc                                         
64bit        237                          0xffffffff811a5670 SyS_mbind                                                   
64bit        238                          0xffffffff811a4130 sys_set_mempolicy                                           
64bit        239                          0xffffffff811a43a0 SyS_get_mempolicy                                           
64bit        240                          0xffffffff812d7890 SyS_mq_open                                                 
64bit        241                          0xffffffff812d7c10 SyS_mq_unlink                                               
64bit        242                          0xffffffff812d7d80 SyS_mq_timedsend                                            
64bit        243                          0xffffffff812d8120 SyS_mq_timedreceive                                         
64bit        244                          0xffffffff812d86c0 SyS_mq_notify                                               
64bit        245                          0xffffffff812d8af0 SyS_mq_getsetattr                                           
64bit        246                          0xffffffff810eb6b0 sys_kexec_load                                              
64bit        247                          0xffffffff8106dfe0 SyS_waitid                                                  
64bit        248                          0xffffffff812dc7c0 SyS_add_key                                                 
64bit        249                          0xffffffff812dc7d0 sys_request_key                                             
64bit        250                          0xffffffff812ddfb0 SyS_keyctl                                                  
64bit        251                          0xffffffff812097e0 sys_ioprio_set                                              
64bit        252                          0xffffffff81209b00 sys_ioprio_get                                              
64bit        253                          0xffffffff8120f610 sys_inotify_init                                            
64bit        254                          0xffffffff8120f630 SyS_inotify_add_watch                                       
64bit        255                          0xffffffff8120f7b0 SyS_inotify_rm_watch                                        
64bit        256                          0xffffffff811a41b0 SyS_migrate_pages                                           
64bit        257                          0xffffffff811c9020 sys_openat                                                  
64bit        258                          0xffffffff811da920 SyS_mkdirat                                                 
64bit        259                          0xffffffff811da6e0 sys_mknodat                                                 
64bit        260                          0xffffffff811c88c0 sys_fchownat                                                
64bit        261                          0xffffffff811fabb0 SyS_futimesat                                               
64bit        262                          0xffffffff811cf0c0 sys_newfstatat                                              
64bit        263                          0xffffffff811daa50 sys_unlinkat                                                
64bit        264                          0xffffffff811dae10 SyS_renameat                                                
64bit        265                          0xffffffff811dabc0 SyS_linkat                                                  
64bit        266                          0xffffffff811daab0 sys_symlinkat                                               
64bit        267                          0xffffffff811cf0e0 sys_readlinkat                                              
64bit        268                          0xffffffff811c87f0 sys_fchmodat                                                
64bit        269                          0xffffffff811c8280 sys_faccessat                                               
64bit        270                          0xffffffff811de640 SyS_pselect6                                                
64bit        271                          0xffffffff811dea40 SyS_ppoll                                                   
64bit        272                          0xffffffff8106a400 SyS_unshare                                                 
64bit        273                          0xffffffff810e0b80 sys_set_robust_list                                         
64bit        274                          0xffffffff810e0bc0 SyS_get_robust_list                                         
64bit        275                          0xffffffff811f9ea0 SyS_splice                                                  
64bit        276                          0xffffffff811f9fa0 sys_tee                                                     
64bit        277                          0xffffffff811fa5c0 sys_sync_file_range                                         
64bit        278                          0xffffffff811f9c90 sys_vmsplice                                                
64bit        279                          0xffffffff811b4b40 sys_move_pages                                              
64bit        280                          0xffffffff811fab20 SyS_utimensat                                               
64bit        281                          0xffffffff81213180 sys_epoll_pwait                                             
64bit        282                          0xffffffff81213f90 sys_signalfd                                                
64bit        283                          0xffffffff81214d20 sys_timerfd_create                                          
64bit        284                          0xffffffff81215ab0 sys_eventfd                                                 
64bit        285                          0xffffffff811c81f0 SyS_fallocate                                               
64bit        286                          0xffffffff81214e50 SyS_timerfd_settime                                         
64bit        287                          0xffffffff81214ee0 sys_timerfd_gettime                                         
64bit        288                          0xffffffff81633a00 SyS_accept4                                                 
64bit        289                          0xffffffff81213d90 sys_signalfd4                                               
64bit        290                          0xffffffff81215a40 sys_eventfd2                                                
64bit        291                          0xffffffff81212ad0 SyS_epoll_create1                                           
64bit        292                          0xffffffff811e7aa0 SyS_dup3                                                    
64bit        293                          0xffffffff811d35c0 SyS_pipe2                                                   
64bit        294                          0xffffffff8120f590 sys_inotify_init1                                           
64bit        295                          0xffffffff811cad70 SyS_preadv                                                  
64bit        296                          0xffffffff811cae40 SyS_pwritev                                                 
64bit        297                          0xffffffff8107f380 SyS_rt_tgsigqueueinfo                                       
64bit        298                          0xffffffff81150690 sys_perf_event_open                                         
64bit        299                          0xffffffff81634250 SyS_recvmmsg                                                
64bit        300                          0xffffffff81210e70 SyS_fanotify_init                                           
64bit        301                          0xffffffff812110e0 SyS_fanotify_mark                                           
64bit        302                          0xffffffff81083300 sys_prlimit64                                               
64bit        303                          0xffffffff81227620 sys_name_to_handle_at                                       
64bit        304                          0xffffffff812277c0 sys_open_by_handle_at                                       
64bit        305                          0xffffffff8108f120 sys_clock_adjtime                                           
64bit        306                          0xffffffff811fa4e0 SyS_syncfs                                                  
64bit        307                          0xffffffff81633f50 SyS_sendmmsg                                                
64bit        308                          0xffffffff81094160 sys_setns                                                   
64bit        309                          0xffffffff81083980 SyS_getcpu                                                  
64bit        310                          0xffffffff811957a0 SyS_process_vm_readv                                        
64bit        311                          0xffffffff811957c0 sys_process_vm_writev                                       
64bit        312                          0xffffffff810d0d00 SyS_kcmp                                                    
64bit        313                          0xffffffff810e81d0 SyS_finit_module                                            
64bit        314                          0xffffffff81090160 compat_sys_s390_ipc                                         
64bit        315                          0xffffffff81090160 compat_sys_s390_ipc                                         
64bit        316                          0xffffffff81090160 compat_sys_s390_ipc                                         
64bit        317                          0xffffffff81090160 compat_sys_s390_ipc                                         
64bit        318                          0xffffffff81090160 compat_sys_s390_ipc                                         
64bit        319                          0xffffffff81090160 compat_sys_s390_ipc                                         
64bit        320                          0xffffffff81090160 compat_sys_s390_ipc                                         
64bit        321                          0xffffffff81090160 compat_sys_s390_ipc                                         
64bit        322                          0xffffffff81090160 compat_sys_s390_ipc                                         
64bit        323                          0xffffffff81090160 compat_sys_s390_ipc                                         
64bit        324                          0xffffffff81090160 compat_sys_s390_ipc                                         
64bit        325                          0xffffffff81090160 compat_sys_s390_ipc                                         
64bit        326                          0xffffffff81090160 compat_sys_s390_ipc                                         
64bit        327                          0xffffffff81090160 compat_sys_s390_ipc                                         
64bit        328                          0xffffffff81090160 compat_sys_s390_ipc                                         
64bit        329                          0xffffffff81090160 compat_sys_s390_ipc                                         
64bit        330                          0xffffffff81090160 compat_sys_s390_ipc                                         
64bit        331                          0xffffffff81090160 compat_sys_s390_ipc                                         
64bit        332                          0xffffffff81090160 compat_sys_s390_ipc                                         
64bit        333                          0xffffffff81090160 compat_sys_s390_ipc                                         
64bit        334                          0xffffffff81090160 compat_sys_s390_ipc                                         
64bit        335                          0xffffffff81090160 compat_sys_s390_ipc                                         
64bit        336                          0xffffffff81090160 compat_sys_s390_ipc                                         
64bit        337                          0xffffffff81090160 compat_sys_s390_ipc                                         
64bit        338                          0xffffffff81090160 compat_sys_s390_ipc                                         
64bit        339                          0xffffffff81090160 compat_sys_s390_ipc                                         
64bit        340                          0xffffffff81090160 compat_sys_s390_ipc                                         
64bit        341                          0xffffffff81090160 compat_sys_s390_ipc                                         
64bit        342                          0xffffffff81090160 compat_sys_s390_ipc                                         
64bit        343                          0xffffffff81090160 compat_sys_s390_ipc                                         
64bit        344                          0xffffffff81090160 compat_sys_s390_ipc                                         
32bit          0                          0xffffffff8107e850 sys_restart_syscall                                         
32bit          1                          0xffffffff8106ded0 SyS_exit                                                    
32bit          2                          0xffffffff8176a4c0 stub32_fork                                                 
32bit          3                          0xffffffff811ca500 SyS_read                                                    
32bit          4                          0xffffffff811ca5a0 sys_write                                                   
32bit          5                          0xffffffff8121d060 compat_sys_open                                             
32bit          6                          0xffffffff811c9060 SyS_close                                                   
32bit          7                          0xffffffff81064410 sys32_waitpid                                               
32bit          8                          0xffffffff811c9040 sys_creat                                                   
32bit          9                          0xffffffff811dadf0 SyS_link                                                    
32bit         10                          0xffffffff811daa90 SyS_unlink                                                  
32bit         11                          0xffffffff8176a4b0 stub32_execve                                               
32bit         12                          0xffffffff811c84c0 sys_chdir                                                   
32bit         13                          0xffffffff810ee2c0 compat_sys_time                                             
32bit         14                          0xffffffff811da900 sys_mknod                                                   
32bit         15                          0xffffffff811c88a0 sys_chmod                                                   
32bit         16                          0xffffffff810e2240 SyS_lchown16                                                
32bit         17                          0xffffffff810650f0 compat_ni_syscall                                           
32bit         18                          0xffffffff811cf070 SyS_stat                                                    
32bit         19                          0xffffffff811c96d0 compat_SyS_lseek                                            
32bit         20                          0xffffffff81082400 sys_getpid                                                  
32bit         21                          0xffffffff8121cc40 compat_sys_mount                                            
32bit         22                          0xffffffff811eb780 sys_oldumount                                               
32bit         23                          0xffffffff810e2330 sys_setuid16                                                
32bit         24                          0xffffffff810e2930 sys_getuid16                                                
32bit         25                          0xffffffff810ee310 compat_sys_stime                                            
32bit         26                          0xffffffff81076f20 compat_sys_ptrace                                           
32bit         27                          0xffffffff8107a190 sys_alarm                                                   
32bit         28                          0xffffffff811cf090 SyS_fstat                                                   
32bit         29                          0xffffffff8107fdf0 sys_pause                                                   
32bit         30                          0xffffffff8121c110 compat_sys_utime                                            
32bit         31                          0xffffffff810650f0 compat_ni_syscall                                           
32bit         32                          0xffffffff810650f0 compat_ni_syscall                                           
32bit         33                          0xffffffff811c84a0 SyS_access                                                  
32bit         34                          0xffffffff8109e9b0 SyS_nice                                                    
32bit         35                          0xffffffff810650f0 compat_ni_syscall                                           
32bit         36                          0xffffffff811fa3f0 sys_sync                                                    
32bit         37                          0xffffffff8107f2f0 sys_kill                                                    
32bit         38                          0xffffffff811dae20 SyS_rename                                                  
32bit         39                          0xffffffff811daa10 SyS_mkdir                                                   
32bit         40                          0xffffffff811daa30 sys_rmdir                                                   
32bit         41                          0xffffffff811e7be0 sys_dup                                                     
32bit         42                          0xffffffff811d3660 sys_pipe                                                    
32bit         43                          0xffffffff810ed0b0 compat_sys_times                                            
32bit         44                          0xffffffff810650f0 compat_ni_syscall                                           
32bit         45                          0xffffffff8118af50 SyS_brk                                                     
32bit         46                          0xffffffff810e22d0 SyS_setgid16                                                
32bit         47                          0xffffffff810e2a10 sys_getgid16                                                
32bit         48                          0xffffffff8107fdb0 sys_signal                                                  
32bit         49                          0xffffffff810e29a0 sys_geteuid16                                               
32bit         50                          0xffffffff810e2a80 sys_getegid16                                               
32bit         51                          0xffffffff810ea0c0 sys_acct                                                    
32bit         52                          0xffffffff811eb680 SyS_umount                                                  
32bit         53                          0xffffffff810650f0 compat_ni_syscall                                           
32bit         54                          0xffffffff8121e9a0 compat_sys_ioctl                                            
32bit         55                          0xffffffff8121c620 compat_sys_fcntl64                                          
32bit         56                          0xffffffff810650f0 compat_ni_syscall                                           
32bit         57                          0xffffffff810826e0 SyS_setpgid                                                 
32bit         58                          0xffffffff810650f0 compat_ni_syscall                                           
32bit         59                          0xffffffff81082cc0 sys_olduname                                                
32bit         60                          0xffffffff81083550 sys_umask                                                   
32bit         61                          0xffffffff811c8630 sys_chroot                                                  
32bit         62                          0xffffffff8121c560 compat_sys_ustat                                            
32bit         63                          0xffffffff811e7b90 SyS_dup2                                                    
32bit         64                          0xffffffff81082450 sys_getppid                                                 
32bit         65                          0xffffffff81082930 sys_getpgrp                                                 
32bit         66                          0xffffffff810829d0 sys_setsid                                                  
32bit         67                          0xffffffff8107fd40 compat_SyS_sigaction                                        
32bit         68                          0xffffffff8107fd50 sys_sgetmask                                                
32bit         69                          0xffffffff8107fd70 SyS_ssetmask                                                
32bit         70                          0xffffffff810e2300 SyS_setreuid16                                              
32bit         71                          0xffffffff810e22a0 sys_setregid16                                              
32bit         72                          0xffffffff8107ff20 sys_sigsuspend                                              
32bit         73                          0xffffffff810ed1d0 compat_sys_sigpending                                       
32bit         74                          0xffffffff81082cd0 SyS_sethostname                                             
32bit         75                          0xffffffff810ed2f0 compat_sys_setrlimit                                        
32bit         76                          0xffffffff810ed3b0 compat_sys_old_getrlimit                                    
32bit         77                          0xffffffff81083540 compat_SyS_getrusage                                        
32bit         78                          0xffffffff810ecc40 compat_sys_gettimeofday                                     
32bit         79                          0xffffffff810eccd0 compat_sys_settimeofday                                     
32bit         80                          0xffffffff810e26a0 SyS_getgroups16                                             
32bit         81                          0xffffffff810e27c0 sys_setgroups16                                             
32bit         82                          0xffffffff8121d5b0 compat_sys_old_select                                       
32bit         83                          0xffffffff811daba0 SyS_symlink                                                 
32bit         84                          0xffffffff811cf080 SyS_lstat                                                   
32bit         85                          0xffffffff811cf200 SyS_readlink                                                
32bit         86                          0xffffffff811d0fe0 SyS_uselib                                                  
32bit         87                          0xffffffff8119a910 SyS_swapon                                                  
32bit         88                          0xffffffff81095d60 SyS_reboot                                                  
32bit         89                          0xffffffff8121cda0 compat_sys_old_readdir                                      
32bit         90                          0xffffffff810643b0 sys32_mmap                                                  
32bit         91                          0xffffffff8118bb40 sys_munmap                                                  
32bit         92                          0xffffffff811c8010 compat_SyS_truncate                                         
32bit         93                          0xffffffff811c8040 compat_sys_ftruncate                                        
32bit         94                          0xffffffff811c8750 SyS_fchmod                                                  
32bit         95                          0xffffffff810e2270 SyS_fchown16                                                
32bit         96                          0xffffffff81081550 sys_getpriority                                             
32bit         97                          0xffffffff810812c0 sys_setpriority                                             
32bit         98                          0xffffffff810650f0 compat_ni_syscall                                           
32bit         99                          0xffffffff8121c420 compat_sys_statfs                                           
32bit        100                          0xffffffff8121c460 compat_sys_fstatfs                                          
32bit        101                          0xffffffff81017650 sys_ioperm                                                  
32bit        102                          0xffffffff8166b3e0 compat_sys_socketcall                                       
32bit        103                          0xffffffff810c30d0 sys_syslog                                                  
32bit        104                          0xffffffff810ecf30 compat_SyS_setitimer                                        
